symbol,date,count,
face to face,01/10/2019,"24,344,901",
face to face,01/11/2019,"21,531,910",
face to face,01/12/2019,"18,770,999",
face to face,01/01/2020,"21,733,392",
face to face,01/02/2020,"19,230,573",
face to face,01/03/2020,"15,921,790",
face to face,01/04/2020,"7,480,937",
face to face,01/05/2020,"7,729,597",
face to face,01/06/2020,"9,763,381",
face to face,01/07/2020,"11,184,671",
face to face,01/08/2020,"10,391,965",
face to face,01/09/2020,"15,093,120",
face to face,01/10/2020,"16,870,620",
home visit,01/10/2019,"271,405",
home visit,01/11/2019,"251,106",
home visit,01/12/2019,"237,332",
home visit,01/01/2020,"266,942",
home visit,01/02/2020,"227,935",
home visit,01/03/2020,"172,773",
home visit,01/04/2020,"100,673",
home visit,01/05/2020,"112,018",
home visit,01/06/2020,"133,805",
home visit,01/07/2020,"140,787",
home visit,01/08/2020,"119,273",
home visit,01/09/2020,"148,985",
home visit,01/10/2020,"161,720",
Telephone,01/10/2019,"3,624,208",
Telephone,01/11/2019,"3,444,334",
Telephone,01/12/2019,"3,252,172",
Telephone,01/01/2020,"3,701,774",
Telephone,01/02/2020,"3,322,241",
Telephone,01/03/2020,"6,637,653",
Telephone,01/04/2020,"7,652,390",
Telephone,01/05/2020,"7,813,733",
Telephone,01/06/2020,"9,849,385",
Telephone,01/07/2020,"10,114,285",
Telephone,01/08/2020,"8,744,907",
Telephone,01/09/2020,"10,262,227",
Telephone,01/10/2020,"9,950,361",
Video/Online,01/10/2019,"195,524",
Video/Online,01/11/2019,"176,057",
Video/Online,01/12/2019,"157,579",
Video/Online,01/01/2020,"194,206",
Video/Online,01/02/2020,"172,638",
Video/Online,01/03/2020,"127,230",
Video/Online,01/04/2020,"44,213",
Video/Online,01/05/2020,"41,650",
Video/Online,01/06/2020,"59,057",
Video/Online,01/07/2020,"80,764",
Video/Online,01/08/2020,"77,190",
Video/Online,01/09/2020,"124,282",
Video/Online,01/10/2020,"137,466",
Unknown,01/10/2019,"1,567,170",
Unknown,01/11/2019,"1,355,240",
Unknown,01/12/2019,"1,143,601",
Unknown,01/01/2020,"1,252,300",
Unknown,01/02/2020,"1,104,609",
Unknown,01/03/2020,"1,147,130",
Unknown,01/04/2020,"703,655",
Unknown,01/05/2020,"699,372",
Unknown,01/06/2020,"854,108",
Unknown,01/07/2020,"928,517",
Unknown,01/08/2020,"783,931",
Unknown,01/09/2020,"1,031,187",
Unknown,01/10/2020,"1,116,026",
